Agent,Arrival time,Answer time,Completion time,Release type,Time in queue,Service time,No of Agents,Queue + Service times
8,2:36:04 PM,2:36:12 PM,2:41:48 PM,N,0:00:08,0:05:36,4,0:05:44
4,2:38:20 PM,2:38:44 PM,2:40:46 PM,N,0:00:24,0:02:01,4,0:02:25
7,2:43:10 PM,2:43:25 PM,2:44:34 PM,N,0:00:15,0:01:08,4,0:01:23
,2:45:24 PM,2:46:16 PM,2:46:38 PM,N,0:00:51,0:00:22,4,0:01:13
1,2:54:06 PM,2:54:21 PM,2:56:31 PM,N,0:00:15,0:02:11,4,0:02:25
6,3:00:46 PM,3:01:11 PM,3:03:39 PM,N,0:00:25,0:02:28,4,0:02:53
8,3:00:53 PM,3:03:20 PM,3:04:48 PM,N,0:02:27,0:01:29,4,0:03:56
2,3:03:36 PM,3:04:01 PM,3:05:30 PM,N,0:00:25,0:01:30,4,0:01:55
5,3:04:08 PM,3:04:19 PM,3:06:29 PM,N,0:00:10,0:02:11,4,0:02:21
1,3:05:52 PM,3:06:11 PM,3:07:03 PM,N,0:00:19,0:00:52,4,0:01:11
8,3:06:42 PM,3:06:46 PM,3:09:02 PM,N,0:00:04,0:02:16,4,0:02:19
4,3:07:45 PM,3:07:53 PM,3:09:14 PM,N,0:00:08,0:01:20,4,0:01:28
5,3:10:20 PM,3:10:28 PM,3:11:31 PM,N,0:00:08,0:01:03,4,0:01:11
8,3:10:24 PM,3:10:42 PM,3:12:26 PM,N,0:00:19,0:01:43,4,0:02:02
2,3:13:03 PM,3:13:37 PM,3:16:35 PM,N,0:00:34,0:02:58,4,0:03:32
6,3:15:23 PM,3:15:30 PM,3:16:55 PM,N,0:00:07,0:01:25,4,0:01:32
1,3:21:30 PM,3:21:49 PM,3:22:45 PM,N,0:00:19,0:00:56,4,0:01:15
5,3:23:07 PM,3:23:42 PM,3:25:18 PM,N,0:00:36,0:01:35,4,0:02:11
2,3:24:02 PM,3:24:23 PM,3:27:56 PM,N,0:00:21,0:03:33,4,0:03:54
1,3:25:04 PM,,,Q,0:00:00,0:00:00,4,0:00:00
8,3:30:49 PM,3:30:59 PM,3:35:07 PM,N,0:00:10,0:04:08,4,0:04:18
2,3:32:51 PM,3:34:25 PM,3:37:38 PM,N,0:01:34,0:03:13,4,0:04:47
7,3:43:23 PM,3:43:36 PM,3:44:44 PM,N,0:00:13,0:01:09,4,0:01:21
9,10:30:11 AM,10:30:12 AM,10:30:12 AM,Q,0:00:01,0:00:00,6,0:00:01
10,10:30:12 AM,10:30:17 AM,10:30:17 AM,V,0:00:05,0:00:00,6,0:00:05
10,10:30:15 AM,10:30:21 AM,10:30:21 AM,V,0:00:06,0:00:00,6,0:00:06
7,10:30:17 AM,10:30:40 AM,10:31:15 AM,N,0:00:23,0:00:35,5,0:00:58
4,10:30:21 AM,10:30:39 AM,10:31:44 AM,N,0:00:18,0:01:05,4,0:01:23
10,10:30:50 AM,10:31:22 AM,10:31:22 AM,V,0:00:32,0:00:00,4,0:00:32
1,10:31:22 AM,10:31:37 AM,10:32:59 AM,N,0:00:15,0:01:22,3,0:01:37
10,10:31:27 AM,10:32:20 AM,10:32:20 AM,V,0:00:53,0:00:00,3,0:00:53
10,10:31:44 AM,10:33:06 AM,10:33:06 AM,V,0:01:22,0:00:00,3,0:01:22
10,10:31:52 AM,10:32:24 AM,10:32:24 AM,V,0:00:32,0:00:00,3,0:00:32
10,10:32:16 AM,10:32:44 AM,10:32:44 AM,V,0:00:28,0:00:00,3,0:00:28
10,10:32:18 AM,10:32:49 AM,10:32:49 AM,V,0:00:31,0:00:00,3,0:00:31
7,10:32:20 AM,10:32:44 AM,10:33:21 AM,N,0:00:24,0:00:37,3,0:01:01
4,10:32:24 AM,10:32:47 AM,10:33:33 AM,N,0:00:23,0:00:46,3,0:01:09
10,10:32:37 AM,10:33:04 AM,10:33:04 AM,Q,0:00:27,0:00:00,3,0:00:27
1,10:32:44 AM,10:33:13 AM,10:34:43 AM,N,0:00:29,0:01:30,4,0:01:59
10,10:32:45 AM,10:33:15 AM,10:33:15 AM,V,0:00:30,0:00:00,4,0:00:30
4,10:32:49 AM,10:33:40 AM,10:34:38 AM,N,0:00:51,0:00:58,4,0:01:49
10,10:33:02 AM,10:33:31 AM,10:33:31 AM,V,0:00:29,0:00:00,4,0:00:29
7,10:33:06 AM,10:33:28 AM,10:35:30 AM,N,0:00:22,0:02:02,4,0:02:24
8,10:33:15 AM,10:33:42 AM,10:35:02 AM,N,0:00:27,0:01:20,4,0:01:47
10,10:33:16 AM,10:33:47 AM,10:33:47 AM,V,0:00:31,0:00:00,4,0:00:31
1,10:33:31 AM,10:34:50 AM,10:38:20 AM,N,0:01:19,0:03:30,4,0:04:49
8,10:33:47 AM,10:35:11 AM,10:43:12 AM,N,0:01:24,0:08:01,5,0:09:25
10,10:34:12 AM,10:34:22 AM,10:34:22 AM,V,0:00:10,0:00:00,5,0:00:10
4,10:34:22 AM,10:34:40 AM,10:36:32 AM,N,0:00:18,0:01:52,5,0:02:10
10,10:35:43 AM,10:36:16 AM,10:36:16 AM,V,0:00:33,0:00:00,5,0:00:33
10,10:36:12 AM,10:36:38 AM,10:36:38 AM,V,0:00:26,0:00:00,5,0:00:26
5,10:36:16 AM,10:36:31 AM,10:38:23 AM,N,0:00:15,0:01:52,4,0:02:07
7,10:36:38 AM,10:36:52 AM,10:38:22 AM,N,0:00:14,0:01:30,3,0:01:44
10,10:36:54 AM,10:37:49 AM,10:37:49 AM,V,0:00:55,0:00:00,3,0:00:55
10,10:37:20 AM,10:38:01 AM,10:38:01 AM,V,0:00:41,0:00:00,3,0:00:41
4,10:37:49 AM,10:38:08 AM,10:39:19 AM,N,0:00:19,0:01:11,3,0:01:30
7,10:38:01 AM,10:38:53 AM,10:39:27 AM,N,0:00:52,0:00:34,3,0:01:26
10,10:38:47 AM,10:39:42 AM,10:39:42 AM,V,0:00:55,0:00:00,3,0:00:55
5,10:39:42 AM,10:39:58 AM,10:42:08 AM,N,0:00:16,0:02:10,3,0:02:26
10,10:40:10 AM,10:40:27 AM,10:40:27 AM,Q,0:00:17,0:00:00,3,0:00:17
10,10:40:20 AM,10:41:44 AM,10:41:44 AM,V,0:01:24,0:00:00,3,0:01:24
4,10:41:44 AM,10:42:19 AM,10:43:46 AM,N,0:00:35,0:01:27,4,0:02:02
10,10:42:34 AM,10:43:26 AM,10:43:26 AM,V,0:00:52,0:00:00,3,0:00:52
10,10:42:44 AM,10:43:38 AM,10:43:38 AM,V,0:00:54,0:00:00,4,0:00:54
10,10:43:26 AM,10:43:27 AM,10:43:27 AM,Q,0:00:01,0:00:00,3,0:00:01
10,10:43:38 AM,10:43:44 AM,10:43:44 AM,V,0:00:06,0:00:00,4,0:00:06
6,10:43:38 AM,10:43:58 AM,10:47:17 AM,N,0:00:20,0:03:19,5,0:03:39
10,10:43:40 AM,10:45:11 AM,10:45:12 AM,V,0:01:31,0:00:01,4,0:01:32
7,10:43:44 AM,10:44:03 AM,10:44:42 AM,N,0:00:19,0:00:39,4,0:00:58
10,10:44:08 AM,10:44:32 AM,10:44:32 AM,V,0:00:24,0:00:00,4,0:00:24
5,10:44:32 AM,10:44:50 AM,10:45:36 AM,N,0:00:18,0:00:46,4,0:01:04
8,10:45:12 AM,10:47:22 AM,10:50:23 AM,N,0:02:10,0:03:01,4,0:05:11
10,10:49:06 AM,10:49:49 AM,10:49:50 AM,V,0:00:43,0:00:01,4,0:00:44
10,10:49:17 AM,10:49:19 AM,10:49:20 AM,V,0:00:02,0:00:01,5,0:00:03
7,10:49:20 AM,10:49:52 AM,10:51:36 AM,N,0:00:32,0:01:44,6,0:02:16
5,10:49:50 AM,10:50:05 AM,10:51:36 AM,N,0:00:15,0:01:31,6,0:01:46
10,10:49:52 AM,10:50:29 AM,10:50:29 AM,V,0:00:37,0:00:00,6,0:00:37
