Agent,Arrival time,Answer time,Completion time,Release type,Time in queue,Service time,No of Agents,Queue + Service times
7,1:26:47 PM,1:27:07 PM,1:28:14 PM,N,0:00:20,0:01:07,2,0:01:27
10,1:27:31 PM,1:27:37 PM,1:27:37 PM,V,0:00:06,0:00:00,2,0:00:06
5,1:27:37 PM,1:28:07 PM,1:29:58 PM,N,0:00:30,0:01:51,2,0:02:21
10,1:29:50 PM,1:30:49 PM,1:30:49 PM,V,0:00:59,0:00:00,2,0:00:59
10,1:29:56 PM,1:30:03 PM,1:30:03 PM,V,0:00:07,0:00:00,2,0:00:07
5,1:30:03 PM,1:31:50 PM,1:37:56 PM,N,0:01:47,0:06:06,3,0:07:53
10,1:31:10 PM,1:32:08 PM,1:32:08 PM,V,0:00:58,0:00:00,3,0:00:58
10,1:32:08 PM,1:33:04 PM,1:33:05 PM,V,0:00:56,0:00:01,4,0:00:57
7,1:33:05 PM,1:34:16 PM,1:35:56 PM,N,0:01:11,0:01:40,4,0:02:51
10,1:36:05 PM,1:37:00 PM,1:37:00 PM,V,0:00:55,0:00:00,4,0:00:55
8,1:37:00 PM,1:37:14 PM,1:37:46 PM,N,0:00:14,0:00:32,4,0:00:46
10,1:40:51 PM,1:41:18 PM,1:41:18 PM,V,0:00:27,0:00:00,3,0:00:27
6,1:41:18 PM,1:41:45 PM,1:42:25 PM,N,0:00:27,0:00:40,3,0:01:07
10,1:42:11 PM,1:42:53 PM,1:42:53 PM,V,0:00:42,0:00:00,3,0:00:42
8,1:42:53 PM,1:43:23 PM,1:47:40 PM,N,0:00:30,0:04:17,2,0:04:47
10,1:45:35 PM,1:46:02 PM,1:46:02 PM,Q,0:00:27,0:00:00,2,0:00:27
10,1:47:27 PM,1:47:58 PM,1:47:58 PM,V,0:00:31,0:00:00,3,0:00:31
10,1:47:55 PM,1:48:27 PM,1:48:27 PM,V,0:00:32,0:00:00,3,0:00:32
6,1:47:58 PM,1:48:38 PM,1:49:35 PM,N,0:00:40,0:00:57,3,0:01:37
8,1:48:27 PM,1:48:56 PM,2:00:56 PM,N,0:00:29,0:12:00,3,0:12:29
10,1:49:02 PM,1:49:57 PM,1:49:57 PM,V,0:00:55,0:00:00,4,0:00:55
7,1:49:57 PM,1:50:32 PM,1:52:50 PM,N,0:00:35,0:02:18,4,0:02:53
10,1:50:39 PM,1:51:10 PM,1:51:10 PM,V,0:00:31,0:00:00,5,0:00:31
6,1:51:10 PM,1:51:26 PM,1:53:30 PM,N,0:00:16,0:02:04,5,0:02:20
10,1:53:34 PM,1:53:38 PM,1:53:38 PM,V,0:00:04,0:00:00,5,0:00:04
5,1:53:38 PM,1:54:00 PM,1:55:09 PM,N,0:00:22,0:01:09,4,0:01:31
10,1:55:50 PM,1:56:21 PM,1:56:21 PM,V,0:00:31,0:00:00,4,0:00:31
9,1:56:21 PM,1:57:09 PM,1:57:09 PM,Q,0:00:48,0:00:00,4,0:00:48
10,1:56:57 PM,1:57:00 PM,1:57:00 PM,V,0:00:03,0:00:00,4,0:00:03
5,1:57:00 PM,1:57:20 PM,2:00:32 PM,N,0:00:20,0:03:12,4,0:03:32
10,1:57:37 PM,1:58:06 PM,1:58:06 PM,V,0:00:29,0:00:00,5,0:00:29
7,1:58:06 PM,1:58:23 PM,1:59:45 PM,N,0:00:17,0:01:22,5,0:01:39
10,1:58:47 PM,1:59:12 PM,1:59:12 PM,V,0:00:25,0:00:00,5,0:00:25
6,1:59:12 PM,2:00:00 PM,2:00:43 PM,N,0:00:48,0:00:43,4,0:01:31
10,1:59:26 PM,2:00:46 PM,2:00:46 PM,V,0:01:20,0:00:00,4,0:01:20
8,2:00:46 PM,2:02:12 PM,2:04:10 PM,N,0:01:26,0:01:58,4,0:03:24
10,2:02:44 PM,2:02:46 PM,2:02:46 PM,Q,0:00:02,0:00:00,4,0:00:02
10,2:06:51 PM,2:07:43 PM,2:07:43 PM,V,0:00:52,0:00:00,5,0:00:52
10,2:06:56 PM,2:07:27 PM,2:07:27 PM,V,0:00:31,0:00:00,5,0:00:31
7,2:07:27 PM,2:07:46 PM,2:09:26 PM,N,0:00:19,0:01:40,4,0:01:59
5,2:07:43 PM,2:07:59 PM,2:10:28 PM,N,0:00:16,0:02:29,4,0:02:45
10,2:09:54 PM,2:10:19 PM,2:10:19 PM,V,0:00:25,0:00:00,4,0:00:25
4,2:10:19 PM,2:10:57 PM,2:11:17 PM,N,0:00:38,0:00:20,5,0:00:58
10,2:13:03 PM,2:13:36 PM,2:13:37 PM,V,0:00:33,0:00:01,6,0:00:34
8,2:13:37 PM,2:13:53 PM,2:18:17 PM,N,0:00:16,0:04:24,6,0:04:40
10,2:17:42 PM,2:18:07 PM,2:18:07 PM,V,0:00:25,0:00:00,6,0:00:25
7,2:18:07 PM,2:18:29 PM,2:21:23 PM,N,0:00:22,0:02:54,5,0:03:16
9,2:19:04 PM,2:19:41 PM,2:19:41 PM,V,0:00:37,0:00:00,5,0:00:37
6,2:19:41 PM,2:20:20 PM,2:21:51 PM,N,0:00:39,0:01:31,5,0:02:10
10,2:20:06 PM,2:20:39 PM,2:20:39 PM,V,0:00:33,0:00:00,6,0:00:33
4,2:20:39 PM,2:20:59 PM,2:22:19 PM,N,0:00:20,0:01:20,6,0:01:40
10,2:22:34 PM,2:22:58 PM,2:22:58 PM,V,0:00:24,0:00:00,6,0:00:24
8,2:22:58 PM,2:23:15 PM,2:30:51 PM,N,0:00:17,0:07:36,6,0:07:53
10,2:26:31 PM,2:27:01 PM,2:27:01 PM,V,0:00:30,0:00:00,5,0:00:30
5,2:27:01 PM,2:27:21 PM,2:28:29 PM,N,0:00:20,0:01:08,4,0:01:28
10,2:42:25 PM,2:42:28 PM,2:42:28 PM,V,0:00:03,0:00:00,4,0:00:03
7,2:42:28 PM,2:43:35 PM,2:44:55 PM,N,0:01:07,0:01:20,4,0:02:27
10,2:43:36 PM,2:44:15 PM,2:44:15 PM,V,0:00:39,0:00:00,4,0:00:39
4,2:44:15 PM,2:44:50 PM,2:45:51 PM,N,0:00:35,0:01:01,4,0:01:36
10,2:46:30 PM,2:47:25 PM,2:47:25 PM,V,0:00:55,0:00:00,4,0:00:55
8,2:47:25 PM,2:47:54 PM,2:51:22 PM,N,0:00:29,0:03:28,4,0:03:57
10,2:49:41 PM,2:50:12 PM,2:50:12 PM,V,0:00:31,0:00:00,4,0:00:31
5,2:50:12 PM,2:51:41 PM,2:55:43 PM,N,0:01:29,0:04:02,4,0:05:31
10,2:50:41 PM,2:51:00 PM,2:51:00 PM,V,0:00:19,0:00:00,5,0:00:19
7,2:51:00 PM,2:51:17 PM,2:51:42 PM,N,0:00:17,0:00:25,4,0:00:42
10,2:53:21 PM,2:54:19 PM,2:54:19 PM,V,0:00:58,0:00:00,4,0:00:58
10,2:54:19 PM,2:54:29 PM,2:54:29 PM,Q,0:00:10,0:00:00,4,0:00:10
10,2:55:59 PM,2:57:46 PM,2:57:46 PM,V,0:01:47,0:00:00,5,0:01:47
1,2:57:46 PM,2:58:20 PM,3:01:28 PM,N,0:00:34,0:03:08,4,0:03:42
10,2:58:38 PM,2:59:10 PM,2:59:10 PM,V,0:00:32,0:00:00,4,0:00:32
8,2:59:10 PM,2:59:45 PM,3:03:10 PM,N,0:00:35,0:03:25,3,0:04:00
10,3:06:35 PM,3:06:52 PM,3:06:52 PM,V,0:00:17,0:00:00,3,0:00:17
2,3:06:52 PM,3:07:30 PM,3:08:18 PM,N,0:00:38,0:00:48,4,0:01:26
10,3:10:43 PM,3:12:17 PM,3:12:17 PM,V,0:01:34,0:00:00,4,0:01:34
10,3:11:59 PM,3:12:34 PM,3:12:34 PM,Q,0:00:35,0:00:00,4,0:00:35
1,3:12:17 PM,3:12:50 PM,3:13:44 PM,N,0:00:33,0:00:54,4,0:01:27
10,3:13:18 PM,3:13:50 PM,3:13:50 PM,V,0:00:32,0:00:00,3,0:00:32
4,3:13:50 PM,3:14:11 PM,3:16:30 PM,N,0:00:21,0:02:19,3,0:02:40
10,3:13:54 PM,3:13:57 PM,3:13:57 PM,V,0:00:03,0:00:00,4,0:00:03
2,3:13:57 PM,3:15:16 PM,3:17:06 PM,N,0:01:19,0:01:50,4,0:03:09
10,3:15:33 PM,3:15:36 PM,3:15:36 PM,V,0:00:03,0:00:00,5,0:00:03
1,3:15:36 PM,3:16:11 PM,3:20:52 PM,N,0:00:35,0:04:41,5,0:05:16
10,3:17:27 PM,3:17:34 PM,3:17:34 PM,V,0:00:07,0:00:00,5,0:00:07
7,3:17:34 PM,3:18:33 PM,3:19:46 PM,N,0:00:59,0:01:13,4,0:02:12
10,3:25:26 PM,3:26:20 PM,3:26:20 PM,V,0:00:54,0:00:00,4,0:00:54
8,3:26:20 PM,3:27:46 PM,3:30:24 PM,N,0:01:26,0:02:38,4,0:04:04
10,3:27:56 PM,3:28:42 PM,3:28:42 PM,V,0:00:46,0:00:00,5,0:00:46
10,3:28:40 PM,3:28:44 PM,3:28:44 PM,V,0:00:04,0:00:00,5,0:00:04
1,3:28:42 PM,3:29:01 PM,3:30:24 PM,N,0:00:19,0:01:23,6,0:01:42
2,3:28:44 PM,3:30:01 PM,3:33:17 PM,N,0:01:17,0:03:16,5,0:04:33
10,3:39:47 PM,3:40:18 PM,3:40:18 PM,V,0:00:31,0:00:00,5,0:00:31
5,3:40:18 PM,3:40:33 PM,3:43:53 PM,N,0:00:15,0:03:20,4,0:03:35
10,3:42:09 PM,3:42:39 PM,3:42:39 PM,V,0:00:30,0:00:00,5,0:00:30
4,3:42:39 PM,3:43:18 PM,3:45:11 PM,N,0:00:39,0:01:53,5,0:02:32
10,3:43:04 PM,3:43:58 PM,3:43:58 PM,V,0:00:54,0:00:00,5,0:00:54
1,3:43:58 PM,3:44:18 PM,3:44:34 PM,N,0:00:20,0:00:16,4,0:00:36
10,3:45:12 PM,3:45:44 PM,3:45:44 PM,V,0:00:32,0:00:00,5,0:00:32
7,3:45:44 PM,3:46:17 PM,3:48:10 PM,N,0:00:33,0:01:53,5,0:02:26
10,3:47:29 PM,3:47:59 PM,3:47:59 PM,V,0:00:30,0:00:00,5,0:00:30
5,3:47:59 PM,3:48:21 PM,3:51:13 PM,N,0:00:22,0:02:52,4,0:03:14
10,3:48:36 PM,3:49:01 PM,3:49:01 PM,V,0:00:25,0:00:00,4,0:00:25
6,3:49:01 PM,3:49:23 PM,3:50:00 PM,N,0:00:22,0:00:37,5,0:00:59
10,3:56:51 PM,3:58:17 PM,3:58:17 PM,V,0:01:26,0:00:00,5,0:01:26
1,3:58:17 PM,4:00:06 PM,4:03:04 PM,N,0:01:49,0:02:58,5,0:04:47
10,4:01:45 PM,4:01:51 PM,4:01:51 PM,Q,0:00:06,0:00:00,5,0:00:06
10,4:05:37 PM,4:05:40 PM,4:05:40 PM,V,0:00:03,0:00:00,4,0:00:03
4,4:05:40 PM,4:06:04 PM,4:07:43 PM,N,0:00:24,0:01:39,4,0:02:03
10,4:17:19 PM,4:17:56 PM,4:17:56 PM,V,0:00:37,0:00:00,4,0:00:37
7,4:17:56 PM,4:19:48 PM,4:21:59 PM,N,0:01:52,0:02:11,4,0:04:03
10,4:20:59 PM,4:22:27 PM,4:22:27 PM,V,0:01:28,0:00:00,3,0:01:28
4,4:22:27 PM,4:23:30 PM,4:24:44 PM,N,0:01:03,0:01:14,3,0:02:17
10,4:34:11 PM,4:34:35 PM,4:34:35 PM,V,0:00:24,0:00:00,3,0:00:24
8,4:34:35 PM,4:34:49 PM,4:37:29 PM,N,0:00:14,0:02:40,3,0:02:54
10,4:34:49 PM,4:34:53 PM,4:34:53 PM,V,0:00:04,0:00:00,3,0:00:04
4,4:34:53 PM,4:35:47 PM,4:37:01 PM,N,0:00:54,0:01:14,2,0:02:08
10,4:36:49 PM,4:37:43 PM,4:37:43 PM,V,0:00:54,0:00:00,2,0:00:54
4,4:37:43 PM,4:38:29 PM,4:39:37 PM,N,0:00:46,0:01:08,2,0:01:54
10,4:48:36 PM,4:49:14 PM,4:49:14 PM,V,0:00:38,0:00:00,2,0:00:38
10,4:59:00 PM,4:59:38 PM,4:59:38 PM,V,0:00:38,0:00:00,1,0:00:38
10,4:59:28 PM,5:01:12 PM,5:01:12 PM,V,0:01:44,0:00:00,1,0:01:44
